Month,ACTS INTENDED TO CAUSE INJURY,FRAUD DECEPTION AND RELATED OFFENCES,HOMICIDE AND RELATED OFFENCES,OTHER OFFENCES AGAINST THE PERSON,PROPERTY DAMAGE AND ENVIRONMENTAL,ROBBERY AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,SEXUAL ASSAULT AND RELATED OFFENCES,THEFT AND RELATED OFFENCES
2010-07,1273.0,313.0,1.0,311.0,2695.0,103.0,1499.0,128.0,3682.0
2010-08,1339.0,294.0,5.0,312.0,2817.0,92.0,1633.0,124.0,3678.0
2010-09,1343.0,226.0,11.0,312.0,2757.0,86.0,1583.0,131.0,3686.0
2010-10,1355.0,199.0,9.0,272.0,3098.0,104.0,1636.0,143.0,3778.0
2010-11,1397.0,236.0,10.0,347.0,2920.0,81.0,1545.0,140.0,3854.0
2010-12,1466.0,253.0,5.0,278.0,2880.0,95.0,1507.0,122.0,4011.0
2011-01,1515.0,234.0,8.0,294.0,3281.0,65.0,1652.0,111.0,4117.0
2011-02,1454.0,197.0,3.0,285.0,2765.0,85.0,1543.0,133.0,3707.0
2011-03,1508.0,228.0,5.0,309.0,2784.0,135.0,1625.0,113.0,4118.0
2011-04,1268.0,186.0,15.0,281.0,2551.0,107.0,1523.0,137.0,3926.0
2011-05,1373.0,222.0,3.0,303.0,2733.0,106.0,1575.0,125.0,4052.0
2011-06,1337.0,200.0,4.0,279.0,2655.0,90.0,1611.0,134.0,3962.0
2011-07,1327.0,204.0,13.0,286.0,2779.0,69.0,1529.0,140.0,3926.0
2011-08,1374.0,179.0,7.0,322.0,2508.0,78.0,1441.0,150.0,3718.0
2011-09,1340.0,221.0,4.0,290.0,2430.0,96.0,1564.0,147.0,3730.0
2011-10,1413.0,191.0,3.0,312.0,2822.0,90.0,1704.0,128.0,3938.0
2011-11,1520.0,214.0,7.0,299.0,2563.0,73.0,1650.0,146.0,3766.0
2011-12,1482.0,222.0,6.0,307.0,2605.0,87.0,1614.0,148.0,3701.0
2012-01,1503.0,172.0,7.0,280.0,2936.0,102.0,1618.0,137.0,3862.0
2012-02,1389.0,183.0,2.0,268.0,2466.0,78.0,1441.0,115.0,3598.0
2012-03,1347.0,236.0,3.0,278.0,2518.0,95.0,1666.0,147.0,3787.0
2012-04,1132.0,189.0,7.0,240.0,2498.0,83.0,1629.0,118.0,3368.0
2012-05,1290.0,210.0,3.0,291.0,2283.0,82.0,1606.0,137.0,3645.0
2012-06,1173.0,148.0,3.0,194.0,2182.0,99.0,1451.0,109.0,3169.0
2012-07,1161.0,210.0,2.0,235.0,2227.0,75.0,1441.0,122.0,3295.0
2012-08,1274.0,238.0,7.0,246.0,2219.0,63.0,1517.0,131.0,3626.0
2012-09,1258.0,193.0,4.0,241.0,2335.0,105.0,1572.0,137.0,3427.0
2012-10,1365.0,161.0,7.0,295.0,2556.0,110.0,1730.0,170.0,3758.0
2012-11,1465.0,237.0,6.0,310.0,2349.0,66.0,1532.0,150.0,3634.0
2012-12,1486.0,195.0,8.0,287.0,2557.0,73.0,1560.0,142.0,3774.0
2013-01,1531.0,200.0,4.0,298.0,2758.0,87.0,1630.0,126.0,3572.0
2013-02,1406.0,167.0,4.0,247.0,2310.0,82.0,1450.0,139.0,3341.0
2013-03,1491.0,205.0,5.0,240.0,2408.0,75.0,1469.0,171.0,3545.0
2013-04,1212.0,152.0,2.0,216.0,2230.0,74.0,1404.0,133.0,3379.0
2013-05,1299.0,252.0,5.0,236.0,2180.0,58.0,1569.0,135.0,3577.0
2013-06,1230.0,239.0,3.0,235.0,2123.0,65.0,1342.0,118.0,3531.0
2013-07,1222.0,256.0,6.0,240.0,2084.0,52.0,1253.0,153.0,3337.0
2013-08,1312.0,204.0,3.0,251.0,2024.0,71.0,1241.0,175.0,3206.0
2013-09,1333.0,198.0,3.0,261.0,2037.0,60.0,1311.0,170.0,3294.0
2013-10,1307.0,254.0,6.0,289.0,2195.0,70.0,1429.0,146.0,3491.0
2013-11,1334.0,224.0,3.0,267.0,2153.0,73.0,1281.0,157.0,3397.0
2013-12,1366.0,215.0,10.0,273.0,2280.0,62.0,1235.0,145.0,3320.0
2014-01,1405.0,248.0,6.0,266.0,2283.0,63.0,1305.0,139.0,3310.0
2014-02,1321.0,228.0,1.0,215.0,1967.0,66.0,1300.0,141.0,3174.0
2014-03,1429.0,247.0,4.0,269.0,2094.0,83.0,1277.0,189.0,3303.0
2014-04,1118.0,193.0,6.0,205.0,1773.0,58.0,1366.0,145.0,3174.0
2014-05,1273.0,237.0,2.0,258.0,1888.0,79.0,1381.0,150.0,3444.0
2014-06,1174.0,200.0,0.0,238.0,1803.0,77.0,1214.0,155.0,3255.0
2014-07,1363.0,252.0,5.0,277.0,1863.0,56.0,1240.0,196.0,3072.0
2014-08,1517.0,234.0,6.0,325.0,1842.0,51.0,1159.0,197.0,3011.0
2014-09,1449.0,237.0,5.0,311.0,1895.0,77.0,1234.0,154.0,3317.0
2014-10,1485.0,213.0,8.0,302.0,2060.0,64.0,1365.0,181.0,3587.0
2014-11,1603.0,218.0,3.0,314.0,1928.0,50.0,1173.0,174.0,3367.0
2014-12,1669.0,195.0,15.0,300.0,1878.0,70.0,1242.0,158.0,3408.0
2015-01,1636.0,255.0,7.0,314.0,2095.0,55.0,1330.0,164.0,3233.0
2015-02,1531.0,203.0,3.0,314.0,1902.0,60.0,1163.0,165.0,3009.0
2015-03,1638.0,243.0,3.0,336.0,1995.0,52.0,1320.0,214.0,3300.0
2015-04,1282.0,238.0,7.0,311.0,1851.0,51.0,1169.0,148.0,3396.0
2015-05,1474.0,244.0,5.0,325.0,1863.0,54.0,1402.0,156.0,3874.0
2015-06,1381.0,242.0,9.0,275.0,1795.0,60.0,1295.0,189.0,3486.0
2015-07,1384.0,229.0,4.0,287.0,1739.0,51.0,1299.0,132.0,3430.0
2015-08,1492.0,219.0,4.0,315.0,1831.0,45.0,1313.0,206.0,3493.0
